iter	Passed	Remaining
1426	199809	10221
1427	199978	10082
1428	200141	9944
1429	200336	9806
1430	200602	9672
1431	200785	9534
1432	200999	9397
1433	201175	9259
1434	201363	9120
1435	201561	8983
1436	201770	8845
1437	201932	8706
1438	202123	8568
1439	202289	8428
1440	202468	8289
1441	202665	8151
1442	202846	8012
1443	203038	7874
1444	203265	7736
1445	203450	7597
1446	203633	7458
1447	203823	7319
1448	204040	7181
1449	204270	7043
1450	204476	6905
1451	204706	6767
1452	204880	6627
1453	205057	6487
1454	205282	6348
1455	205471	6209
1456	205672	6069
1457	205846	5929
1458	206028	5789
1459	206176	5648
1460	206407	5509
1461	206582	5369
1462	206791	5229
1463	206972	5089
1464	207178	4949
1465	207377	4809
1466	207585	4669
1467	207745	4528
1468	207970	4388
1469	208176	4248
1470	208341	4107
1471	208542	3966
1472	208784	3827
1473	208952	3685
1474	209120	3544
1475	209328	3403
1476	209522	3262
1477	209717	3121
1478	209901	2980
1479	210113	2839
1480	210312	2698
1481	210493	2556
1482	210679	2415
1483	210843	2273
1484	211079	2132
1485	211260	1990
1486	211506	1849
1487	211734	1707
1488	211907	1565
1489	212093	1423
1490	212278	1281
1491	212501	1139
1492	212696	997
1493	212872	854
1494	213046	712
1495	213245	570
1496	213436	427
1497	213629	285
1498	213820	142
1499	214013	0
